completeID,Area
PARL 580-1-1,417.132
PARL 580-1-2,643.954
PARL 580-1-3,497.155
PARL 580-1-4,580.734
PARL 580-1-5,581.399
PARL 580-1-6,377.744
PARL 580-1-7,415.3
PARL 580-1-8,600.257
PARL 854-1-1,412.126
PARL 854-1-2,305.532
PARL 854-1-3,376.755
PARL 854-1-4,600.126
PARL 854-1-5,395.247
PARL 854-1-6,369.877
PARL 854-1-7,343.71
PARL 854-1-8,310.113
PARL 584-1-1,662.101
PARL 584-1-2,1082.723
PARL 584-1-3,411.257
PARL 584-1-4,441.908
PARL 584-1-5,637.628
PARL 584-1-6,790.214
PARL 584-1-7,661.703
PARL 584-1-8,794.664
PARL 585-1-1,489.187
PARL 585-1-2,532.337
PARL 585-1-3,781.788
PARL 585-1-4,376.584
PARL 585-1-5,348.011
PARL 585-1-6,709.003
PARL 585-1-7,566.684
PARL 585-1-8,501.842
PARL 839-1-1,1077.263
PARL 839-1-2,764.287
PARL 839-1-3,810.49
PARL 839-1-4,656.562
PARL 839-1-5,769.322
PARL 839-1-6,647.915
PARL 839-1-7,754.456
PARL 839-1-8,721.762
PARL 325-1-1,460.352
PARL 325-1-2,821.59
PARL 325-1-3,589.758
PARL 325-1-4,691.811
PARL 325-1-5,740.908
PARL 325-1-6,879.41
PARL 325-1-7,665.612
PARL 325-1-8,794.164
PARL 572-1-1,513.687
PARL 572-1-2,798.06
PARL 572-1-3,462.863
PARL 572-1-4,622.495
PARL 572-1-5,484.885
PARL 572-1-6,363.522
PARL 572-1-7,312.859
PARL 572-1-8,414.154
PARL 390-1-1,595.133
PARL 390-1-2,573.089
PARL 390-1-3,549.63
PARL 390-1-4,679.157
PARL 390-1-5,362.294
PARL 390-1-6,939.224
PARL 390-1-7,590.339
PARL 390-1-8,712.298
PARL 319-1-1,1016.323
PARL 319-1-2,558.622
PARL 319-1-3,511.394
PARL 319-1-4,444.983
PARL 319-1-5,768
PARL 319-1-6,692.703
PARL 319-1-7,713.856
PARL 319-1-8,643.573
PARL 326-1-1,507.246
PARL 326-1-2,286.875
PARL 326-1-3,315.331
PARL 326-1-4,427.512
PARL 326-1-5,513.085
PARL 326-1-6,600.335
PARL 326-1-7,392.06
PARL 326-1-8,473.683
PARL 845-1-1,643.653
PARL 845-1-2,386.661
PARL 845-1-3,499.65
PARL 845-1-4,474.802
PARL 845-1-5,334.149
PARL 845-1-6,411.551
PARL 845-1-7,572.141
PARL 845-1-8,603.515
PARL 582-1-1,509.709
PARL 582-1-2,562.682
PARL 582-1-3,639.078
PARL 582-1-4,504.385
PARL 582-1-5,469.361
PARL 582-1-6,446.743
PARL 582-1-7,452.916
PARL 582-1-8,508.704
PARL 242-1-1,348.086
PARL 242-1-2,220.588
PARL 242-1-3,255.127
PARL 242-1-4,331.623
PARL 242-1-5,278.28
PARL 242-1-6,176.906
PARL 242-1-7,197.491
PARL 242-1-8,262.054
PARL 246-1-1,229.317
PARL 246-1-2,371.976
PARL 246-1-3,350.19
PARL 246-1-4,337.208
PARL 246-1-5,490.069
PARL 246-1-6,313.353
PARL 246-1-7,285.736
PARL 246-1-8,538.881
PARL 580-2-1,443.883
PARL 580-2-2,448.054
PARL 580-2-3,451.65
PARL 580-2-4,440.46
PARL 580-2-5,524.433
PARL 580-2-6,545.727
PARL 580-2-7,451.851
PARL 580-2-8,495.297
PARL 854-2-1,318.825
PARL 854-2-2,202.097
PARL 854-2-3,331.871
PARL 854-2-4,283.58
PARL 854-2-5,366.642
PARL 854-2-6,314.477
PARL 854-2-7,258.384
PARL 854-2-8,298.197
PARL 584-2-1,629.527
PARL 584-2-2,430.925
PARL 584-2-3,576.008
PARL 584-2-4,553.295
PARL 584-2-5,301.912
PARL 584-2-6,400.908
PARL 584-2-7,387.128
PARL 584-2-8,398.771
PARL 585-2-1,415.206
PARL 585-2-2,499.762
PARL 585-2-3,367.564
PARL 585-2-4,476.465
PARL 585-2-5,356.023
PARL 585-2-6,440.719
PARL 585-2-7,272.125
PARL 585-2-8,393.38
PARL 839-2-8,792.111
PARL 839-2-7,382.341
PARL 839-2-6,607.124
PARL 839-2-5,850.444
PARL 839-2-4,628.393
PARL 839-2-3,323.411
PARL 839-2-2,593.937
PARL 839-2-1,401.356
PARL 325-2-8,873.882
PARL 325-2-7,610.439
PARL 325-2-6,822.722
PARL 325-2-5,658.074
PARL 325-2-4,427.856
PARL 325-2-3,735.817
PARL 325-2-2,832.178
PARL 325-2-1,917.977
PARL 572-2-8,540.559
PARL 572-2-7,533.472
PARL 572-2-6,395.54
PARL 572-2-5,458.627
PARL 572-2-4,443.798
PARL 572-2-3,503.087
PARL 572-2-2,488.408
PARL 572-2-1,538.283
PARL 390-2-8,712.049
PARL 390-2-7,525.266
PARL 390-2-6,360.734
PARL 390-2-5,944.334
PARL 390-2-4,652.724
PARL 390-2-3,652.624
PARL 390-2-2,642.052
PARL 390-2-1,714.156
PARL 319-2-8,592.967
PARL 319-2-7,701.061
PARL 319-2-6,582.961
PARL 319-2-5,407.113
PARL 319-2-4,604.193
PARL 319-2-3,614.857
PARL 319-2-2,536.166
PARL 319-2-1,555.725
PARL 326-2-8,421.613
PARL 326-2-7,299.438
PARL 326-2-6,349.345
PARL 326-2-5,552.097
PARL 326-2-4,322.372
PARL 326-2-3,474.086
PARL 326-2-2,362.016
PARL 326-2-1,478.74
PARL 845-2-8,612.349
PARL 845-2-7,894.717
PARL 845-2-6,321.521
PARL 845-2-5,355.805
PARL 845-2-4,536.732
PARL 845-2-3,782.938
PARL 845-2-2,652.543
PARL 845-2-1,299.143
PARL 582-2-8,600.101
PARL 582-2-7,592.73
PARL 582-2-6,529.949
PARL 582-2-5,469.552
PARL 582-2-4,520.518
PARL 582-2-3,513.951
PARL 582-2-2,517.594
PARL 582-2-1,486.989
PARL 242-2-8,470.548
PARL 242-2-7,458.342
PARL 242-2-6,208.288
PARL 242-2-5,248.481
PARL 242-2-4,244.015
PARL 242-2-3,257.513
PARL 242-2-2,268.086
PARL 242-2-1,348.028
PARL 246-2-1,279.218
PARL 246-2-2,332.406
PARL 246-2-3,280.901
PARL 246-2-4,408.747
PARL 246-2-5,209.728
PARL 246-2-6,551.318
PARL 246-2-7,318.554
PARL 246-2-8,341.545
PARL 580-3-8,366.637
PARL 580-3-7,339.302
PARL 580-3-6,623.343
PARL 580-3-5,361.437
PARL 580-3-4,467.97
PARL 580-3-3,511.1
PARL 580-3-2,332.004
PARL 580-3-1,553.118
PARL 854-3-8,320.005
PARL 854-3-7,227.117
PARL 854-3-6,292.369
PARL 854-3-5,262.108
PARL 854-3-4,347.241
PARL 854-3-3,296.809
PARL 854-3-2,286.012
PARL 854-3-1,381.941
PARL 584-3-8,368.712
PARL 584-3-7,394.973
PARL 584-3-6,626.891
PARL 584-3-5,505.871
PARL 584-3-4,293.941
PARL 584-3-3,468.15
PARL 584-3-2,713.45
PARL 584-3-1,929.859
PARL 585-3-1,576.333
PARL 585-3-2,506.076
PARL 585-3-3,477.378
PARL 585-3-4,497.15
PARL 585-3-5,399.434
PARL 585-3-6,485.501
PARL 585-3-7,431.553
PARL 585-3-8,510.698
PARL 839-3-1,541.234
PARL 839-3-2,705.48
PARL 839-3-3,704.171
PARL 839-3-4,591.546
PARL 839-3-5,689.956
PARL 839-3-6,702.965
PARL 839-3-7,600
PARL 839-3-8,628.918
PARL 325-3-1,873.507
PARL 325-3-2,1003.913
PARL 325-3-3,876.808
PARL 325-3-4,921.74
PARL 325-3-5,703.941
PARL 325-3-6,860.859
PARL 325-3-7,586.023
PARL 325-3-8,804.08
PARL 572-3-1,567.712
PARL 572-3-2,493.501
PARL 572-3-3,351.851
PARL 572-3-4,511.833
PARL 572-3-5,634.076
PARL 572-3-6,555.464
PARL 572-3-7,495.398
PARL 572-3-8,553.382
PARL 390-3-1,621.012
PARL 390-3-2,814.715
PARL 390-3-3,653.365
PARL 390-3-4,494.991
PARL 390-3-5,778.468
PARL 390-3-6,844.605
PARL 390-3-7,653.224
PARL 390-3-8,701.562
PARL 319-3-1,698.025
PARL 319-3-2,712.356
PARL 319-3-3,530.516
PARL 319-3-4,610.738
PARL 319-3-5,659.612
PARL 319-3-6,528.504
PARL 319-3-7,664.208
PARL 319-3-8,659.167
PARL 326-3-1,370.314
PARL 326-3-2,528.902
PARL 326-3-3,498.697
PARL 326-3-4,323.897
PARL 326-3-5,387.221
PARL 326-3-6,476.175
PARL 326-3-7,501.636
PARL 326-3-8,384.254
PARL 845-3-1,615.582
PARL 845-3-2,503.196
PARL 845-3-3,437.795
PARL 845-3-4,677.038
PARL 845-3-5,438.499
PARL 845-3-6,582.186
PARL 845-3-7,628.733
PARL 845-3-8,807.277
PARL 582-3-1,515.272
PARL 582-3-2,571.011
PARL 582-3-3,419.424
PARL 582-3-4,423.618
PARL 582-3-5,588.555
PARL 582-3-6,526.965
PARL 582-3-7,508.929
PARL 582-3-8,479.747
PARL 242-3-1,238.771
PARL 242-3-2,489.488
PARL 242-3-3,406.703
PARL 242-3-4,291.273
PARL 242-3-5,306.453
PARL 242-3-6,388.259
PARL 242-3-7,434.543
PARL 242-3-8,260.032
PARL 246-3-1,346.133
PARL 246-3-2,246.713
PARL 246-3-3,307.079
PARL 246-3-4,414.577
PARL 246-3-5,337.507
PARL 246-3-6,439.32
PARL 246-3-7,334.573
PARL 246-3-8,303.164
PARL 580-4-1,403.214
PARL 580-4-2,368.488
PARL 580-4-3,543.162
PARL 580-4-4,473.147
PARL 580-4-5,446.622
PARL 580-4-6,449.65
PARL 580-4-7,424.643
PARL 580-4-8,520.814
PARL 854-4-1,229.442
PARL 854-4-2,232.04
PARL 854-4-3,219.486
PARL 854-4-4,260.345
PARL 854-4-5,364.738
PARL 854-4-6,342.698
PARL 854-4-7,240.333
PARL 854-4-8,233.917
PARL 584-4-1,490.124
PARL 584-4-2,479.094
PARL 584-4-3,301.5
PARL 584-4-4,622.138
PARL 584-4-5,598.181
PARL 584-4-6,741.041
PARL 584-4-7,404.368
PARL 584-4-8,485.001
PARL 585-4-1,437.01
PARL 585-4-2,439.991
PARL 585-4-3,242.276
PARL 585-4-4,321.793
PARL 585-4-5,449.483
PARL 585-4-6,495.716
PARL 585-4-7,406.453
PARL 585-4-8,423.686
PARL 839-4-1,735.663
PARL 839-4-2,578.965
PARL 839-4-3,509.909
PARL 839-4-4,767.38
PARL 839-4-5,410.874
PARL 839-4-6,594.274
PARL 839-4-7,N/A
PARL 839-4-8,414.758
PARL 325-4-1,613.783
PARL 325-4-2,690.986
PARL 325-4-3,723.111
PARL 325-4-4,668.276
PARL 325-4-5,641.542
PARL 325-4-6,591.612
PARL 325-4-7,666.627
PARL 325-4-8,1073.268
PARL 572-4-1,456.518
PARL 572-4-2,467.439
PARL 572-4-3,541.929
PARL 572-4-4,559.146
PARL 572-4-5,580.476
PARL 572-4-6,457.699
PARL 572-4-7,560.824
PARL 572-4-8,698.503
PARL 390-4-1,867.278
PARL 390-4-2,502.354
PARL 390-4-3,582.549
PARL 390-4-4,385.908
PARL 390-4-5,649.998
PARL 390-4-6,517.946
PARL 390-4-7,876.922
PARL 390-4-8,604.245
PARL 319-4-8,689.465
PARL 319-4-7,609.833
PARL 319-4-6,468.784
PARL 319-4-5,297.914
PARL 319-4-4,393.432
PARL 319-4-3,587.955
PARL 319-4-2,575.986
PARL 319-4-1,606.361
PARL 326-4-8,382.306
PARL 326-4-7,555.781
PARL 326-4-6,428.388
PARL 326-4-5,473.002
PARL 326-4-4,453.161
PARL 326-4-3,426.017
PARL 326-4-2,329.284
PARL 326-4-1,527.801
PARL 845-4-8,356.23
PARL 845-4-7,448.892
PARL 845-4-6,382.758
PARL 845-4-5,288.803
PARL 845-4-4,291.298
PARL 845-4-3,497.725
PARL 845-4-2,437.214
PARL 845-4-1,313.087
PARL 582-4-8,273.241
PARL 582-4-7,667.402
PARL 582-4-6,546.684
PARL 582-4-5,520.102
PARL 582-4-4,513.447
PARL 582-4-3,519.672
PARL 582-4-2,620.334
PARL 582-4-1,416.069
PARL 242-4-8,543.248
PARL 242-4-7,301.354
PARL 242-4-6,236.34
PARL 242-4-5,201.525
PARL 242-4-4,214.616
PARL 242-4-3,426.091
PARL 242-4-2,418.78
PARL 242-4-1,281.938
PARL 246-4-1,431.254
PARL 246-4-2,264.572
PARL 246-4-3,250.572
PARL 246-4-4,243.529
PARL 246-4-5,324.704
PARL 246-4-6,305.962
PARL 246-4-7,303.799
PARL 246-4-8,332.518
