"accession","fresh_weight~Area","fresh_weight~Theo_Area","fresh_weight~Area+thickness","fresh_weight~Area*thickness","fresh_weight~Theo_Area+thickness","fresh_weight~Theo_Area*thickness","fresh_weight~Theo_Area+thickness+Pade_Derived_Diam","fresh_weight~Theo_Area*thickness*Pade_Derived_Diam"
"242",0.877105680702536,0.901379260173485,0.920026599709953,0.941698804023384,0.939391820871456,0.943177169249685,0.937985239265867,0.952580718259186
"246",0.804450445575434,0.689134687757498,0.892006780220206,0.905545487530167,0.789570482919567,0.816687996392938,0.77904917046752,0.804988144473739
"319",0.530033936242001,0.777641283083798,0.639490919923388,0.62321746081867,0.81907818017513,0.811486137320719,0.817329050002633,0.815607371754504
"325",0.857689750175467,0.719656766128097,0.895518464608499,0.893075499482419,0.819883516170001,0.812062334025986,0.814581521255686,0.795857000093222
"326",0.898045208889321,0.847217393140406,0.976187490469246,0.977835094760004,0.915907415229318,0.916383606786346,0.912676418577386,0.914048964030663
"390",0.463653149877518,0.698953244014087,0.620270400757581,0.744536881819486,0.866132006143124,0.884304523287676,0.861685694591723,0.889318415449957
"572",0.582478806528849,0.493205444800553,0.818819275436456,0.850396928051145,0.700204483106501,0.687866067846316,0.688511243852174,0.655378520120633
"580",0.58895789097973,0.399194886630794,0.844814982350858,0.838584412984391,0.779555313257765,0.772318361387157,0.782115259507588,0.782290589805552
"582",0.698489951844679,0.708517067401653,0.835729154930781,0.830409685225622,0.80200747163055,0.794709287296276,0.800861491815049,0.796629872677707
"584",0.898805744969776,0.82290492521407,0.94935797381478,0.950691902782414,0.91202857729165,0.915473460009433,0.909325908741472,0.919071884272968
"585",0.53928366435277,0.633227164797014,0.75728638219653,0.791082038161483,0.856125790290463,0.850717387934114,0.850268282316516,0.834055142824185
"839",0.579700969419716,0.406342319656788,0.692646280011835,0.681243602028045,0.704696105803228,0.798001730481708,0.694362341035455,0.79631933703949
"845",0.906779532351361,0.861991827285168,0.964979177543595,0.963698901441318,0.901635982973392,0.904802058036492,0.898013230888117,0.909154089342399
"854",0.108557279907745,0.442230939113158,0.390053915830833,0.581156505365426,0.731306020614817,0.742193968880735,0.736879978990691,0.823143095999535
"All_Accessions",0.813904317721177,0.793367903045601,0.912143651816418,0.923176736356597,0.922940528937643,0.93725922685264,0.923019625972528,0.939023334481309
