"accession","fresh_weight~width","fresh_weight~height","fresh_weight~diameter","fresh_weight~thickness","height~width","diameter~width","thickness~width","diameter~height","thickness~height","thickness~diameter"
"242",399.954390567895,423.856631451963,411.984587542223,427.185378801186,200.198066275384,240.043242141511,155.966066192266,186.268114779938,159.913383687886,157.527216353818
"246",395.825230090492,406.933677293518,388.606674470609,418.774944265463,185.410113722832,227.18503072082,151.858857437601,169.594310658498,151.732161205373,151.880813442112
"319",434.909136315922,446.81420011392,456.529007588775,454.940922633389,228.07707547535,290.81950356185,175.926718023259,288.197790726552,175.839905037235,173.88695252673
"325",454.682383723178,467.305598167594,440.360263349847,481.535131557499,196.282847126735,234.041371416232,195.714117616628,200.578708442457,193.152811555564,193.396486709008
"326",410.380749305697,410.251183258675,384.078688274249,440.05561454461,161.99914747125,199.304494067841,179.135462712984,163.79762556074,186.028634495856,185.029948381875
"390",454.834706732672,460.797651907263,452.984834351615,469.395641946597,182.356196597158,234.620021803892,192.001425096916,212.751392651789,190.673213372379,191.826812003712
"572",418.750072636968,415.132846209064,402.822606326859,438.552735557132,167.640256352515,205.96923696605,176.131470747772,170.10956839122,176.128457453211,176.104282939951
"580",412.307859745294,422.597515033074,426.322267821366,426.241687027386,194.262172768492,282.1583421467,174.773081354917,275.094259928221,173.69499709175,172.993739020289
"582",396.988201599467,417.540057644793,400.602790134651,419.676677652983,171.873110530986,215.064365018048,142.629458715343,189.515299226862,143.225983050023,140.79582155878
"584",443.671300513019,444.052612885145,474.820512135492,486.005585405377,197.116443643901,304.167315321115,180.444703027245,305.828520587291,180.413028652929,179.611657966024
"585",419.913244049179,421.326395126569,429.769234635799,431.006824210309,170.930622516387,247.821963745063,176.658554964995,239.782371506017,177.694280513714,178.02459133446
"839",439.621017106034,444.158166688731,408.319541521599,458.545300029971,189.546948434406,229.080393188406,187.498105899055,214.610427837889,183.857367413866,187.793160636612
"845",431.563912944461,421.150104903123,402.879491834124,464.551838154328,181.3483419403,226.207789715376,175.243944112056,175.126610117272,175.065785609293,174.912522723667
"854",359.724994461791,384.578520512774,383.796194481633,385.528104241961,164.911761293155,221.263692276405,171.80742079904,231.049641004429,167.311839460467,171.769384083664
"All_Accessions",6354.59067888869,6492.64689234954,6400.83622940775,6506.30049493718,3034.7669378353,3770.7328026028,2651.64894980154,3486.51342792469,2642.28036731094,2631.64386822945
