"","DW~W*T","DW~W*T*pdD","DW~A_th*T*pdD","Reis_DW"
"All",0.432452335477251,0.448998873302816,0.442518971100187,0.72
"242",0.853561712953657,0.952746941219762,0.940944371358433,0.72
"246",0.35068942932374,0.664783934155701,0.632357077757777,0.72
"319",0.0699960515420933,-0.0752859559262802,-0.0749832619032329,0.72
"325",0.547611393708368,0.565635967231598,0.583431980835938,0.72
"326",0.17551162346972,0.0745871826879172,0.0758139450845455,0.72
"390",0.290915333829028,0.242011520623057,0.296955295046323,0.72
"572",0.232252696181047,0.295622229142065,0.300735430873704,0.72
"580",0.316680241525327,0.301841098988752,0.308363556528874,0.72
"582",0.0543040447615146,-0.0500243616945353,-0.0215533211264021,0.72
"584",0.0109423514982698,-0.0310246884273373,-0.261300908630465,0.72
"585",0.130089925580703,0.148860502211804,0.14928187805571,0.72
"839",0.475544733767923,0.62368775614159,0.604690348981312,0.72
"845",0.299007469216945,0.237082502665628,0.249360152602167,0.72
"854",0.346705838390424,0.323400419437514,0.328905201116977,0.72
