"","L*W*T","L*W*T*D","Full Ellip.","Reis_FW"
"All",0.928960176703343,0.933057617211763,0.929715537004622,0.91
"242",0.978268925920614,0.991498420095144,0.975154725392011,0.91
"246",0.872027448145615,0.931192166162414,0.8656562413254,0.91
"319",0.82698279329404,0.890814698505293,0.842330521943424,0.91
"325",0.869461691815008,0.899276712546011,0.866120587754483,0.91
"326",0.916222968878301,0.955223991280807,0.915053463038389,0.91
"390",0.923696116791502,0.925165254037892,0.922234433211543,0.91
"572",0.756206540721394,0.905475418603606,0.755583808602066,0.91
"580",0.830957653812319,0.804989321303877,0.843812599604026,0.91
"582",0.82203651133845,0.899509520508702,0.842988996910907,0.91
"584",0.94732894810762,0.971704989323055,0.953359102957491,0.91
"585",0.855180601465591,0.864078938637235,0.864692224179807,0.91
"839",0.83003221800094,0.917309287301614,0.853190205036848,0.91
"845",0.903808149468543,0.953516186002644,0.908435372518131,0.91
"854",0.793781848469162,0.84164427977655,0.815768624632884,0.91
