"","W","H","D","T","D/W","W+H","W+D","W+T","H+D","H+T","D+T","W+H+D","W+H+T","W+D+T","H+D+T","W+H+D+T"
"All",-0.190168893160921,-0.285138582483794,-0.32082858613847,-0.179177519406863,0.0314135355820849,-0.380263400804109,-0.339990249226172,-0.305142070692484,-0.33735288423256,-0.367364478607413,-0.391263042796055,-0.388628909026407,-0.438635942586759,-0.40277448502345,-0.402482735053731,-0.443262229258239
"242",-0.111308774000202,-0.132523433664617,-0.15300391296862,0.018021894061708,-0.026925118139283,-0.151399366198647,-0.161861223729811,-0.0820082582870919,-0.152046724910961,-0.092856866219048,-0.11076801226083,-0.163331923371607,-0.121178299411787,-0.129356000555402,-0.11436539132493,-0.133833885254435
"246",-0.165272996678,0.053279242210952,-0.054564450769332,-0.0545651648523161,-0.0376570824931535,-0.099171134742099,-0.140806727636263,-0.238911150605291,-0.199013603556962,-0.014889392273831,-0.121771546107711,-0.189237825634569,-0.181607378829107,-0.218585751142132,-0.251754531206091,-0.249029459034408
"319",-0.385749550335037,-0.280962140443238,-0.0232313653851842,-0.0608045845379711,-0.0600864402829664,-0.501032639221868,-0.415051462325804,-0.471110371102268,-0.287773125557906,-0.337425170389519,-0.0724367739656317,-0.515347827863955,-0.578889827506567,-0.492322879745767,-0.350880662440032,-0.598622084767994
"325",-0.140762828949279,-0.14659843279481,-0.227556868144692,-0.100242475179979,0.00519237132531891,-0.218026534492802,-0.229298974650066,-0.211854726508275,-0.230358925626904,-0.189310240485208,-0.264350927459737,-0.240547128539286,-0.260538631447305,-0.271252028707338,-0.275854120097997,-0.285839484474142
"326",-0.535238956592339,-0.561636028190739,-0.686239488241145,-0.104392293262894,-0.0074422837419119,-0.685565917238052,-0.721655188950962,-0.526012024093776,-0.716000136597342,-0.61184739251775,-0.710650904991056,-0.748288555311366,-0.691917288254994,-0.736143730000975,-0.73928850832089,-0.764515098475725
"390",-0.41961248804564,-0.323437881177408,-0.403718699290746,-0.19769601221153,0.0127760724586107,-0.519157552218997,-0.516287008401248,-0.508916595873152,-0.425473832279446,-0.402289355552451,-0.50406243181732,-0.541608753765114,-0.575823317492563,-0.594711385203804,-0.522487853992589,-0.608332771994482
"572",-0.338794510731593,-0.336688428509094,-0.358818643720347,-0.0708426092065857,0.0209013728704825,-0.393827116742482,-0.374847744233941,-0.403129185286781,-0.345738165618992,-0.404942219031766,-0.416034399546894,-0.359780011454224,-0.461276044432297,-0.436459357521378,-0.400565595572037,-0.419339610624813
"580",-0.207242734954847,-0.188956097244181,-0.128578658162762,-0.040713328934461,0.0083018500923972,-0.336174999323012,-0.256077524797334,-0.251713960948555,-0.219012698469102,-0.29055615948827,-0.234829540374906,-0.345634090572311,-0.432460165074263,-0.348282026475675,-0.34909502129155,-0.460387868947673
"582",-0.636873939070496,-0.37083314729659,-0.580852452800108,-0.291140554285527,-0.0564032564127331,-0.770565987968405,-0.786603298862996,-0.743685876327646,-0.591355275548222,-0.522520344624357,-0.667545847164081,-0.80085490549828,-0.848841545273692,-0.85715097826206,-0.680452119231615,-0.876042548192416
"584",-0.640920891259286,-0.787158697461255,-0.36168802933509,-0.0434012125904673,-0.0257690008815951,-0.709297171559673,-0.68041774886307,-0.718679856040355,-0.870983858395709,-0.847332174357829,-0.38875387747757,-0.747024491737815,-0.795619666492238,-0.736785753548491,-0.928659111766765,-0.825932926410655
"585",-0.543929113137065,-0.515392475906958,-0.425996421383959,-0.186998261347774,0.0280509041041438,-0.646370546124595,-0.57041753928741,-0.60434965186556,-0.48535722791673,-0.62750514076551,-0.548789729484294,-0.583195743430123,-0.715283742153253,-0.658454625568045,-0.604536746310566,-0.67509608724976
"839",0.019853092759026,-0.047607384301141,-0.116434700414981,-0.0344539620773317,-0.0077297891382288,-0.00328234883852407,-0.121824443030307,-0.058176474280419,-0.12432042549689,-0.170317755492922,-0.19409128837536,-0.128791517725436,-0.134832192705623,-0.207600455321425,-0.188702168986234,-0.203799113833964
"845",-0.546637202308492,-0.652324207517781,-0.710009687187364,0.081261813235509,-0.0652254085312165,-0.708969269992844,-0.736628868935414,-0.45795741385008,-0.720582899322338,-0.557968356363092,-0.617919194548934,-0.748746195529514,-0.613652834172802,-0.641616304557168,-0.629245608824538,-0.655462941042826
"854",-0.298668341657864,-0.187610701555773,-0.0851121043045009,-0.0747884032625382,-0.037629891008914,-0.20974156239635,-0.31102978143235,-0.361433252122886,-0.15117864283424,-0.45864837859291,-0.180109256431075,-0.221556726606055,-0.38114785927216,-0.375189438813431,-0.421995265268441,-0.396310831553692
