"","W","H","D","T","D/W","W*H","W*D","W*T","H*D","H*T","D*T","W*H*D","W*H*T","W*D*T","H*D*T","W*H*D*T"
"All",4200.15278313195,4342.50884439942,4303.34096958381,4300.67006387511,4356.05660372136,4186.72983504198,4190.92891779553,4150.89495769218,4309.16435505632,4288.19882666089,4254.66634805163,4208.69454429778,4158.83592126004,4158.31709608091,4266.20228336267,4202.16834851115
"242",258.680615391952,277.891600060761,270.143701568565,272.882134951739,287.103208004152,239.80031123471,228.148547945603,235.036477452312,274.206716430251,261.132161385196,249.285596074737,210.175613157959,215.079307753776,205.561101266211,253.78421179208,212.573385944956
"246",215.012600072593,213.855435408801,202.516608042254,230.112958868152,230.113547680564,204.810041977448,202.719963956535,220.202556077446,205.480821085865,219.029935993965,206.767025384613,210.30200401095,209.282468951944,206.91994969792,215.006652348713,219.068558997555
"319",313.546370348347,317.593803086609,317.729776567681,317.397838099161,317.394102794125,320.358708543406,320.14555708204,319.419872658325,323.529251088922,323.468201364446,323.663337772431,332.526712233919,332.753071807283,332.881026208632,336.247873314172,346.9841137568
"325",252.961000076526,260.932943911588,250.652642830097,269.126440676364,271.025345982399,252.668148910075,251.385294810748,254.751156499447,252.496191062649,265.950703030776,253.655125865657,259.497974454976,261.480548535491,258.929085299182,259.203705750627,277.02462776959
"326",324.76418113345,325.701251861749,323.875294532351,326.385976651788,331.163468102349,330.402735674921,330.334704752809,328.693867095676,330.541237137968,328.561118542847,327.168105319562,342.162506247963,341.217969520881,340.72250512517,339.996157825314,362.504432712796
"390",302.278427951115,301.516767634085,300.899263641545,301.948751440153,309.698271926185,305.960970225288,305.418783855803,303.717229811575,306.91501388816,303.241936812231,302.985208913817,312.628795695131,314.765923277492,314.226670503744,315.684695159916,326.641753165609
"572",268.011640225039,265.900685438613,260.77943154496,273.268364994817,274.034538618427,271.91237270661,267.239828647877,270.272626199927,264.709647951479,268.858176432689,261.665583173621,275.604850627375,275.469165270527,270.321675498265,270.287837813354,290.186245723317
"580",270.450092807097,277.648767787337,278.775299823433,275.723014411004,279.888690247763,275.789917622121,276.69225563232,271.664419875101,283.581993820463,277.692097886471,278.947514832983,287.956696684731,280.727937128506,283.221435880235,287.940006385913,304.946802419754
"582",317.71798261002,318.880186913393,317.189327461334,317.726761150415,319.602394103392,324.091428154658,323.737159272935,321.622213924161,323.295460672241,323.839647714273,323.179548876831,334.980203669691,333.605757694977,333.690767620336,334.51423434621,356.145410758043
"584",218.197148653327,221.263029041275,221.276307783971,220.705157051383,220.835924783742,220.306301772019,223.264593066924,223.656324166202,225.885803880068,226.505883198235,226.372331945396,203.965730312791,230.623994620005,229.481928291446,233.16585790599,214.079454387887
"585",291.855671666367,291.593516330876,293.183240990992,285.960543442168,291.735667764415,298.304940717115,297.24911110716,292.447631917661,294.521156464181,289.699073904972,292.599295455206,300.221196702387,300.363541757315,304.570913949622,298.692595133203,309.396691701904
"839",278.466798897811,286.25814594146,263.169396283816,299.003427891089,299.213789479616,281.374295672215,269.444719976484,283.020865800281,264.829819490984,287.335429710277,264.775674610492,277.770254814535,283.759341192003,271.869654074139,274.495739461686,292.675831781545
"845",374.706433717696,375.330279964324,373.748702615376,372.70921908884,380.14283401097,381.052188468466,380.357201380024,372.716301040006,379.580462332731,373.986924180922,372.238023987881,392.608739391191,384.29658016519,383.745774895729,383.441963643284,398.819192108777
"854",250.574054866169,263.201332354529,259.275797732234,260.464152353577,262.659584487965,252.657357338312,257.185879763391,253.614062438554,265.384105618157,264.275226974377,260.883313734391,265.280096343138,263.565964564359,262.788768195403,267.494807288057,283.573030023046
