"","A","A^2","A^2+A"
"PARL 854",262.525286090738,262.940439261364,262.939997014198
"PARL 845",374.660673015264,375.579164667143,375.578261144806
"PARL 839",261.179651751029,264.140783209071,264.137550427303
"PARL 585",290.375937708071,290.884269543527,290.883719965286
"PARL 584",219.96948401406,220.045000112592,220.044907454022
"PARL 582",316.950995658161,317.2088283223,317.208524905917
"PARL 580",266.825078048599,266.87068295617,266.870490073318
"PARL 572",259.442388468256,259.370733700002,259.370370533487
"PARL 390",302.97182263259,304.002191143269,304.001341744304
"PARL 326",322.092929698226,322.110547211318,322.110417517373
"PARL 325",243.159945108452,243.752011992545,243.751168019495
"PARL 319",315.861480873447,316.108544398755,316.108298143911
"PARL 246",199.398020429414,201.710208840444,201.706174484035
"PARL 242",249.835823290961,241.022657209738,241.034257307627
"All",4174.54992680492,4193.05190011481,4193.027594846
