"","W","H","W^2","H^2","W^2+H^2"
"All",0.630762345929335,0.415169751299039,0.624653205740617,0.383744108874767,0.652748090141085
"242",0.698933176430245,0.614044062331486,0.684968768665092,0.616804801156473,0.745968042044599
"246",0.534485811184077,0.292341352853338,0.539027486337614,0.283163915866656,0.562973903299708
"319",0.437511682543976,0.186736115198126,0.412797696170712,0.17158590082532,0.231433734577706
"325",0.773190125991716,0.342389595385924,0.778829841204858,0.346991422880536,0.66563036380155
"326",0.803975409872721,0.765089346575833,0.807349179875725,0.764362068443421,0.862932923922261
"390",0.508679252246483,0.400005340892323,0.516222587647379,0.398771093281277,0.668118102845556
"572",0.546646348754153,0.620027904495709,0.556162789023504,0.648368066681354,0.705434946447446
"580",0.299147874378822,0.466235366099748,0.293755573475158,0.463343912888468,0.557227032827083
"582",0.69205213731641,0.167887322452191,0.705363471040233,0.165108745987374,0.309507783186782
"584",0.761409652042791,0.823164148908516,0.754091330336655,0.838071523327771,0.919776043958838
"585",0.23359968762267,0.601923097572143,0.247443030505913,0.624065667420982,0.631724522358385
"839",0.524297282217164,0.285898112006488,0.484903730462179,0.272604979003682,0.541002937541333
"845",0.777546586881279,0.852987881435935,0.783147962325304,0.871133521724843,0.931397964398524
"854",0.179686869490644,0.262855161531981,0.181819844786205,0.248588860862678,0.283979830127795
