"","H","W","T","HW","HW+T"
"PARL 854",0.163717340298364,0.628376942311659,0.132506336132097,0.442230939113159,0.470150346604417
"PARL 845",0.799268558422383,0.681122309725136,0.132615254941818,0.861991827285168,0.867090327639348
"PARL 839",0.114736365809365,0.504474772794084,0.184834689613383,0.500294048991441,0.519920029673493
"PARL 585",0.482839162228096,0.49910193750207,0.639251471945589,0.633227164797014,0.653681210904691
"PARL 584",0.772049511231568,0.644358045156229,0.0349197949295454,0.855374145519338,0.864193110869861
"PARL 582",0.208887351717804,0.590790242494458,0.266552240685655,0.708517067401653,0.720538806782525
"PARL 580",0.138678181415118,0.32706994338082,0.271366269489151,0.462669275224454,0.493419697435279
"PARL 572",0.496278670922357,0.45349683634256,0.146440358812969,0.577436684565107,0.593820168371557
"PARL 390",0.340843128935138,0.451821034545709,0.367397281435392,0.597483256321905,0.619668016862639
"PARL 326",0.710919775425204,0.724436254462962,0.253835356927496,0.848352837159633,0.861234259591874
"PARL 325",0.36060182713358,0.618468633830789,0.178842464598791,0.799132234578527,0.806245424916646
"PARL 319",0.515229363142802,0.402282318650985,0.156026990092056,0.779461220966659,0.787773123207821
"PARL 246",0.198707942267728,0.48883473195002,0.0486782873106639,0.695941552767253,0.708453385006957
"PARL 242",0.459030405600448,0.718900974214326,0.0836508990985992,0.902686098346195,0.908963650177202
"All",0.374673047508856,0.543969942928872,0.37736661605904,0.802174628226617,0.814425245456298
