"","A~H^n","A~W^n","A~(HW)^n"
"All",0.474097804432886,0.611507915867686,0.914256091227773
"242",0.573926066653439,0.73871495978449,0.972371458484903
"246",0.338798746958877,0.526843481561988,0.818338983026146
"319",0.212010272026317,0.468891864841334,0.537108991310711
"325",0.331496759548842,0.759109011656435,0.891732471863523
"326",0.774277514865206,0.82437493062175,0.928841551082468
"390",0.373955555107125,0.388373644422576,0.580481797973755
"572",0.592725100920686,0.582348822363605,0.707432043412555
"580",0.46244238886754,0.315834568914643,0.769018801732203
"582",0.165800608601662,0.687022417692786,0.745827656424671
"584",0.832179620443248,0.758523706767095,0.961296866556732
"585",0.622058544820481,0.243969574901575,0.53134107334812
"839",0.302341201696685,0.573501368146158,0.689655578530152
"845",0.827379975156096,0.80456521648479,0.934165597744313
"854",0.409201737900079,0.275984303679801,0.447063137176691
